permutation;execution_tree;approx_time;actual_time
[2 3 6 5 0 4 1];(((((lineorderXdate)𝜎d_year≤1997)𝜎d_year≥1992)X(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']));8.579453036021981;3.775315046310425
[3 4 5 0 2 6 1];((((lineorderX(customer𝜎c_region∊['ASIA']))X(date𝜎d_year≥1992))𝜎d_year≤1997)X(supplier𝜎s_region∊['ASIA']));8.58102312021589;1.2655746936798096
[0 3 5 2 1 6 4];((((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(date𝜎d_year≥1992))Xsupplier)𝜎d_year≤1997)𝜎s_region∊['ASIA']);8.591803203518923;3.9465065002441406
[1 4 2 0 5 3 6];(((((((lineorderXsupplier)𝜎s_region∊['ASIA'])Xdate)Xcustomer)𝜎d_year≥1992)𝜎c_region∊['ASIA'])𝜎d_year≤1997);8.591075811088936;4.158543825149536
[4 1 3 5 0 6 2];(((lineorderX(supplier𝜎s_region∊['ASIA']))X(customer𝜎c_region∊['ASIA']))X((date𝜎d_year≥1992)𝜎d_year≤1997));8.578700132691562;0.7220931053161621
[2 6 5 1 3 4 0];((((((lineorderXdate)𝜎d_year≤1997)𝜎d_year≥1992)Xsupplier)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']));8.57975313712622;7.232779502868652
[2 5 0 4 1 6 3];((((((lineorderXdate)𝜎d_year≥1992)Xcustomer)X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997)𝜎c_region∊['ASIA']);8.591375707361257;7.349951982498169
[1 4 5 6 2 0 3];(((((lineorderXsupplier)𝜎s_region∊['ASIA'])X((date𝜎d_year≥1992)𝜎d_year≤1997))Xcustomer)𝜎c_region∊['ASIA']);8.590593852098635;3.707359552383423
[0 6 4 1 3 5 2];((((lineorderXcustomer)X(supplier𝜎s_region∊['ASIA']))𝜎c_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992));8.604971734145906;2.8702986240386963
[0 3 4 2 1 6 5];((((((lineorderXcustomer)𝜎c_region∊['ASIA'])Xdate)X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997)𝜎d_year≥1992);8.591726274146437;3.1330902576446533
[5 2 0 4 6 1 3];(((((lineorderX(date𝜎d_year≥1992))Xcustomer)𝜎d_year≤1997)X(supplier𝜎s_region∊['ASIA']))𝜎c_region∊['ASIA']);8.590789574090469;7.854121446609497
[0 1 5 2 6 3 4];((((((lineorderXcustomer)Xsupplier)X(date𝜎d_year≥1992))𝜎d_year≤1997)𝜎c_region∊['ASIA'])𝜎s_region∊['ASIA']);8.60616416889421;13.151525735855103
[4 2 1 0 5 3 6];((((((lineorderXdate)X(supplier𝜎s_region∊['ASIA']))Xcustomer)𝜎d_year≥1992)𝜎c_region∊['ASIA'])𝜎d_year≤1997);8.59146277348406;3.874582052230835
[2 0 6 1 5 4 3];(((((((lineorderXdate)Xcustomer)𝜎d_year≤1997)Xsupplier)𝜎d_year≥1992)𝜎s_region∊['ASIA'])𝜎c_region∊['ASIA']);8.592285511450674;13.653446435928345
[2 0 1 3 5 6 4];(((((((lineorderXdate)Xcustomer)Xsupplier)𝜎c_region∊['ASIA'])𝜎d_year≥1992)𝜎d_year≤1997)𝜎s_region∊['ASIA']);8.592624389788858;12.193845987319946
[4 3 2 0 5 6 1];(((((lineorderXdate)X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992)𝜎d_year≤1997)X(supplier𝜎s_region∊['ASIA']));8.580079917692768;2.922483205795288
[3 4 2 0 1 6 5];(((((lineorderXdate)X(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997)𝜎d_year≥1992);8.580584554163556;2.619642972946167
[0 2 3 6 1 5 4];(((((((lineorderXcustomer)Xdate)𝜎c_region∊['ASIA'])𝜎d_year≤1997)Xsupplier)𝜎d_year≥1992)𝜎s_region∊['ASIA']);8.605952286227234;7.0689005851745605
[5 2 0 3 4 1 6];(((((lineorderX(date𝜎d_year≥1992))Xcustomer)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997);8.590629436479556;6.211444616317749
[0 5 1 3 6 2 4];(((((lineorderXcustomer)Xsupplier)𝜎c_region∊['ASIA'])X((date𝜎d_year≥1992)𝜎d_year≤1997))𝜎s_region∊['ASIA']);8.605449304803795;7.239206790924072
[4 5 6 2 1 0 3];((((lineorderX((date𝜎d_year≥1992)𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']))Xcustomer)𝜎c_region∊['ASIA']);8.590346335022485;3.2158687114715576
[0 1 4 2 3 6 5];(((((((lineorderXcustomer)Xsupplier)𝜎s_region∊['ASIA'])Xdate)𝜎c_region∊['ASIA'])𝜎d_year≤1997)𝜎d_year≥1992);8.605935498310815;7.485799551010132
[6 0 5 3 1 2 4];(((((lineorderXcustomer)𝜎c_region∊['ASIA'])Xsupplier)X((date𝜎d_year≤1997)𝜎d_year≥1992))𝜎s_region∊['ASIA']);8.59166083091048;3.6686480045318604
[5 1 0 3 6 2 4];(((((lineorderXsupplier)Xcustomer)𝜎c_region∊['ASIA'])X((date𝜎d_year≥1992)𝜎d_year≤1997))𝜎s_region∊['ASIA']);8.591174287886629;7.268075227737427
[6 0 4 3 2 5 1];(((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(date𝜎d_year≤1997))𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']));8.591383449715842;3.2747011184692383
[2 5 0 1 6 4 3];(((((((lineorderXdate)𝜎d_year≥1992)Xcustomer)Xsupplier)𝜎d_year≤1997)𝜎s_region∊['ASIA'])𝜎c_region∊['ASIA']);8.591848743898968;13.748111009597778
[6 0 1 2 5 3 4];((((((lineorderXcustomer)Xsupplier)X(date𝜎d_year≤1997))𝜎d_year≥1992)𝜎c_region∊['ASIA'])𝜎s_region∊['ASIA']);8.60616416889421;12.758804082870483
[2 0 3 6 5 1 4];(((((((lineorderXdate)Xcustomer)𝜎c_region∊['ASIA'])𝜎d_year≤1997)𝜎d_year≥1992)Xsupplier)𝜎s_region∊['ASIA']);8.591874212832565;7.019285440444946
[4 3 2 5 1 6 0];(((((lineorderXdate)𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']));8.57949978270764;3.805586576461792
[1 0 2 4 6 5 3];(((((((lineorderXsupplier)Xcustomer)Xdate)𝜎s_region∊['ASIA'])𝜎d_year≤1997)𝜎d_year≥1992)𝜎c_region∊['ASIA']);8.592228201496035;12.56473183631897
[4 6 1 5 2 3 0];(((lineorderX(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992))X(customer𝜎c_region∊['ASIA']));8.57870013269156;1.116856575012207
[6 2 0 4 1 3 5];(((((lineorderX(date𝜎d_year≤1997))Xcustomer)X(supplier𝜎s_region∊['ASIA']))𝜎c_region∊['ASIA'])𝜎d_year≥1992);8.590931420129552;5.788811683654785
[2 1 5 0 6 4 3];(((((((lineorderXdate)Xsupplier)𝜎d_year≥1992)Xcustomer)𝜎d_year≤1997)𝜎s_region∊['ASIA'])𝜎c_region∊['ASIA']);8.59215711093066;14.825878620147705
[6 3 0 4 2 1 5];((((lineorderX(customer𝜎c_region∊['ASIA']))X(date𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992);8.581180045934975;1.0684382915496826
[5 2 6 1 4 0 3];((((((lineorderX(date𝜎d_year≥1992))𝜎d_year≤1997)Xsupplier)𝜎s_region∊['ASIA'])Xcustomer)𝜎c_region∊['ASIA']);8.590885984529004;7.452552080154419
[5 6 2 4 1 3 0];(((lineorderX((date𝜎d_year≥1992)𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']))X(customer𝜎c_region∊['ASIA']));8.578763143521378;2.4590625762939453
