permutation;execution_tree;approx_time;actual_time
[5 6 2 3 0 4 1];(((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));8.695419314532103;3.98201847076416
[4 3 1 0 2 6 5];((((((lineorderXdate)Xsupplier)X(customer𝜎c_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);8.72616984140639;7.489363193511963
[2 5 6 1 4 0 3];(((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))Xdate);8.732291663882258;3.4554922580718994
[6 1 5 4 3 0 2];(((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xdate)X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.635267903631332;2.858363389968872
[1 0 2 5 3 6 4];(((((((lineorderXsupplier)Xcustomer)Xpart)𝜎s_region∊['AMERICA'])Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);8.736964193769884;13.365988492965698
[3 4 1 0 2 5 6];((((((lineorderXdate)Xsupplier)X(customer𝜎c_region∊['AMERICA']))Xpart)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.72616957844301;7.356755256652832
[0 6 3 1 4 5 2];((((((lineorderXcustomer)Xdate)Xsupplier)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.662464838999355;11.663846254348755
[4 0 1 3 2 6 5];((((((lineorderX(customer𝜎c_region∊['AMERICA']))Xsupplier)Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);8.727549811481218;2.50223445892334
[6 0 5 3 2 4 1];(((((lineorderXcustomer)Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));8.662068770192278;7.701721429824829
[4 5 0 2 3 1 6];(((((lineorderX(customer𝜎c_region∊['AMERICA']))Xpart)Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.728846343784676;1.7375247478485107
[4 5 3 0 1 2 6];(((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.725396511134418;2.5915279388427734
[2 0 5 4 1 6 3];((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);8.881425255843967;7.2284557819366455
