Permutation [4 5 0 6 3 2 1] produces ((((lineorderX(customer𝜎c_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA'])) takes 2.090752363204956 seconds.
Permutation [4 1 0 6 2 5 3] produces (((((lineorderXsupplier)X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA'])Xdate) takes 4.916568756103516 seconds.
Permutation [2 5 3 4 6 1 0] produces (((((lineorderXpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 12.412179708480835 seconds.
Permutation [4 6 2 5 3 1 0] produces ((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 3.9231808185577393 seconds.
Permutation [0 5 4 6 3 2 1] produces (((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA'])) takes 5.105130434036255 seconds.
Permutation [1 2 3 5 4 0 6] produces ((((((lineorderXsupplier)Xpart)Xdate)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 20.58814287185669 seconds.
Permutation [6 3 0 2 5 4 1] produces (((((lineorderXdate)Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA'])) takes 11.785369634628296 seconds.
Permutation [5 0 1 3 4 6 2] produces (((((lineorderXcustomer)X(supplier𝜎s_region∊['AMERICA']))Xdate)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 5.368377685546875 seconds.
Permutation [6 5 1 3 2 0 4] produces (((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)𝜎c_region∊['AMERICA']) takes 2.6478168964385986 seconds.
Permutation [6 2 4 5 0 3 1] produces ((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))Xdate)X(supplier𝜎s_region∊['AMERICA'])) takes 2.5508930683135986 seconds.
Permutation [2 1 0 6 5 3 4] produces (((((((lineorderXpart)Xsupplier)Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])Xdate)𝜎c_region∊['AMERICA']) takes 22.847797870635986 seconds.
Permutation [3 4 0 5 6 1 2] produces ((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 3.687933921813965 seconds.
Permutation [6 5 4 0 3 1 2] produces ((((lineorderX(customer𝜎c_region∊['AMERICA']))Xdate)X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 1.818589687347412 seconds.
Permutation [5 0 6 2 4 1 3] produces (((((lineorderXcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))Xdate) takes 6.18118691444397 seconds.
Permutation [0 2 1 3 6 5 4] produces (((((((lineorderXcustomer)Xpart)Xsupplier)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA']) takes 35.10853362083435 seconds.
Permutation [6 4 5 1 2 3 0] produces ((((lineorderX(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)X(customer𝜎c_region∊['AMERICA'])) takes 1.539409875869751 seconds.
Permutation [2 0 1 4 5 6 3] produces (((((((lineorderXpart)Xcustomer)Xsupplier)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate) takes 21.94794774055481 seconds.
Permutation [3 5 2 6 4 1 0] produces (((((lineorderXdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 11.331250429153442 seconds.
Permutation [6 2 0 5 3 4 1] produces (((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)Xdate)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA'])) takes 6.828421115875244 seconds.
Permutation [1 5 3 4 2 6 0] produces ((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA'])) takes 6.196962356567383 seconds.
Permutation [6 3 2 0 5 4 1] produces (((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA'])) takes 8.495745182037354 seconds.
Permutation [5 0 4 2 1 6 3] produces ((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xpart)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate) takes 5.1036577224731445 seconds.
Permutation [1 6 4 2 5 0 3] produces (((((lineorderXsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))Xdate) takes 6.284936904907227 seconds.
Permutation [3 6 4 1 2 5 0] produces (((((lineorderXdate)Xsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA'])) takes 12.701685190200806 seconds.
Permutation [3 2 1 6 0 5 4] produces (((((((lineorderXdate)Xpart)Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xcustomer)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA']) takes 25.12267279624939 seconds.
Permutation [4 0 3 1 6 5 2] produces (((((lineorderX(customer𝜎c_region∊['AMERICA']))Xdate)Xsupplier)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 3.0961122512817383 seconds.
Permutation [3 4 6 5 1 2 0] produces ((((lineorderXdate)X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA'])) takes 4.0849950313568115 seconds.
